[Corpus] 캐시 로드: c:\Users\SSAFY\Desktop\공정거래_데이터\rag_system\index\corpus.json
전체 청크: 31879개
체크포인트: 0번부터 재시작
  [7400/31879] 310s, ETA 1025s
  [7450/31879] 312s, ETA 1023s
  [7500/31879] 315s, ETA 1022s
  → 저장 완료 (7500개)
  [7550/31879] 317s, ETA 1022s
  [7600/31879] 319s, ETA 1021s
  [7650/31879] 321s, ETA 1017s
  [7700/31879] 323s, ETA 1016s
  [7750/31879] 326s, ETA 1015s
  [7800/31879] 327s, ETA 1010s
  [7850/31879] 330s, ETA 1010s
  [7900/31879] 333s, ETA 1010s
  [7950/31879] 336s, ETA 1013s
  [8000/31879] 339s, ETA 1013s
  → 저장 완료 (8000개)
  [8050/31879] 342s, ETA 1013s
  [8100/31879] 343s, ETA 1008s
  [8150/31879] 345s, ETA 1003s
  [8200/31879] 346s, ETA 999s
  [8250/31879] 349s, ETA 999s
  [8300/31879] 352s, ETA 1001s
  [8350/31879] 355s, ETA 999s
  [8400/31879] 357s, ETA 998s
  [8450/31879] 359s, ETA 997s
  [8500/31879] 363s, ETA 998s
  → 저장 완료 (8500개)
  [8550/31879] 366s, ETA 999s
  [8600/31879] 367s, ETA 995s
  [8650/31879] 369s, ETA 990s
  [8700/31879] 370s, ETA 985s
  [8750/31879] 372s, ETA 983s
  [8800/31879] 376s, ETA 985s
  [8850/31879] 378s, ETA 984s
  [8900/31879] 379s, ETA 979s
  [8950/31879] 381s, ETA 977s
  [9000/31879] 383s, ETA 974s
  → 저장 완료 (9000개)
  [9050/31879] 387s, ETA 976s
  [9100/31879] 389s, ETA 974s
  [9150/31879] 391s, ETA 971s
  [9200/31879] 394s, ETA 971s
  [9250/31879] 396s, ETA 969s
  [9300/31879] 398s, ETA 967s
  [9350/31879] 400s, ETA 963s
  [9400/31879] 403s, ETA 963s
  [9450/31879] 406s, ETA 963s
  [9500/31879] 408s, ETA 961s
  → 저장 완료 (9500개)
  [9550/31879] 412s, ETA 962s
  [9600/31879] 414s, ETA 960s
  [9650/31879] 416s, ETA 959s
  [9700/31879] 419s, ETA 957s
  [9750/31879] 421s, ETA 955s
  [9800/31879] 422s, ETA 951s
  [9850/31879] 424s, ETA 949s
  [9900/31879] 427s, ETA 948s
  [9950/31879] 428s, ETA 943s
  [10000/31879] 431s, ETA 943s
  → 저장 완료 (10000개)
  [10050/31879] 433s, ETA 940s
  [10100/31879] 434s, ETA 936s
  [10150/31879] 435s, ETA 932s
  [10200/31879] 439s, ETA 933s
  [10250/31879] 441s, ETA 931s
  [10300/31879] 443s, ETA 929s
  [10350/31879] 444s, ETA 924s
  [10400/31879] 447s, ETA 924s
  [10450/31879] 448s, ETA 919s
  [10500/31879] 449s, ETA 914s
  → 저장 완료 (10500개)
  [10550/31879] 453s, ETA 917s
  [10600/31879] 455s, ETA 913s
  [10650/31879] 461s, ETA 918s
  [10700/31879] 466s, ETA 923s
  [10750/31879] 473s, ETA 929s
  [10800/31879] 480s, ETA 936s
  [10850/31879] 485s, ETA 939s
  [10900/31879] 491s, ETA 946s
  [10950/31879] 508s, ETA 970s
  [11000/31879] 519s, ETA 986s
  → 저장 완료 (11000개)
  [11050/31879] 523s, ETA 985s
  [11100/31879] 528s, ETA 989s
  [11150/31879] 540s, ETA 1004s
  [11200/31879] 544s, ETA 1004s
  [11250/31879] 547s, ETA 1002s
  [11300/31879] 550s, ETA 1001s
  [11350/31879] 552s, ETA 999s
  [11400/31879] 555s, ETA 997s
  [11450/31879] 558s, ETA 996s
  [11500/31879] 560s, ETA 992s
  → 저장 완료 (11500개)
  [11550/31879] 564s, ETA 993s
  [11600/31879] 566s, ETA 990s
  [11650/31879] 568s, ETA 986s
  [11700/31879] 571s, ETA 984s
  [11750/31879] 573s, ETA 981s
  [11800/31879] 575s, ETA 979s
  [11850/31879] 576s, ETA 974s
  [11900/31879] 580s, ETA 973s
  [11950/31879] 582s, ETA 970s
  [12000/31879] 583s, ETA 966s
  → 저장 완료 (12000개)
  [12050/31879] 585s, ETA 963s
  [12100/31879] 587s, ETA 960s
  [12150/31879] 590s, ETA 958s
  [12200/31879] 592s, ETA 955s
  [12250/31879] 593s, ETA 951s
  [12300/31879] 594s, ETA 946s
  [12350/31879] 595s, ETA 941s
  [12400/31879] 596s, ETA 937s
  [12450/31879] 598s, ETA 934s
  [12500/31879] 600s, ETA 930s
  → 저장 완료 (12500개)
  [12550/31879] 602s, ETA 927s
  [12600/31879] 603s, ETA 923s
  [12650/31879] 604s, ETA 919s
  [12700/31879] 607s, ETA 917s
  [12750/31879] 608s, ETA 913s
  [12800/31879] 609s, ETA 908s
  [12850/31879] 610s, ETA 904s
  [12900/31879] 612s, ETA 901s
  [12950/31879] 615s, ETA 898s
  [13000/31879] 617s, ETA 896s
  → 저장 완료 (13000개)
  [13050/31879] 621s, ETA 896s
  [13100/31879] 625s, ETA 896s
  [13150/31879] 628s, ETA 894s
  [13200/31879] 630s, ETA 892s
  [13250/31879] 633s, ETA 890s
  [13300/31879] 635s, ETA 887s
  [13350/31879] 636s, ETA 883s
  [13400/31879] 639s, ETA 881s
  [13450/31879] 642s, ETA 880s
  [13500/31879] 645s, ETA 878s
  → 저장 완료 (13500개)
  [13550/31879] 648s, ETA 877s
  [13600/31879] 651s, ETA 875s
  [13650/31879] 653s, ETA 873s
  [13700/31879] 656s, ETA 870s
  [13750/31879] 657s, ETA 867s
  [13800/31879] 659s, ETA 864s
  [13850/31879] 662s, ETA 862s
  [13900/31879] 664s, ETA 859s
  [13950/31879] 667s, ETA 857s
  [14000/31879] 669s, ETA 854s
  → 저장 완료 (14000개)
  [14050/31879] 672s, ETA 853s
  [14100/31879] 675s, ETA 852s
  [14150/31879] 678s, ETA 850s
  [14200/31879] 679s, ETA 846s
  [14250/31879] 681s, ETA 843s
  [14300/31879] 684s, ETA 841s
  [14350/31879] 686s, ETA 838s
  [14400/31879] 687s, ETA 834s
  [14450/31879] 688s, ETA 830s
  [14500/31879] 690s, ETA 827s
  → 저장 완료 (14500개)
  [14550/31879] 692s, ETA 825s
  [14600/31879] 694s, ETA 821s
  [14650/31879] 696s, ETA 818s
  [14700/31879] 698s, ETA 816s
  [14750/31879] 700s, ETA 813s
  [14800/31879] 703s, ETA 811s
  [14850/31879] 705s, ETA 808s
  [14900/31879] 707s, ETA 806s
  [14950/31879] 708s, ETA 802s
  [15000/31879] 709s, ETA 798s
  → 저장 완료 (15000개)
  [15050/31879] 713s, ETA 797s
  [15100/31879] 716s, ETA 796s
  [15150/31879] 717s, ETA 792s
  [15200/31879] 720s, ETA 790s
  [15250/31879] 722s, ETA 787s
  [15300/31879] 723s, ETA 783s
  [15350/31879] 724s, ETA 779s
  [15400/31879] 726s, ETA 777s
  [15450/31879] 727s, ETA 773s
  [15500/31879] 729s, ETA 771s
  → 저장 완료 (15500개)
  [15550/31879] 733s, ETA 769s
  [15600/31879] 735s, ETA 767s
  [15650/31879] 736s, ETA 764s
  [15700/31879] 737s, ETA 760s
  [15750/31879] 740s, ETA 757s
  [15800/31879] 742s, ETA 755s
  [15850/31879] 745s, ETA 753s
  [15900/31879] 748s, ETA 751s
  [15950/31879] 748s, ETA 747s
  [16000/31879] 749s, ETA 743s
  → 저장 완료 (16000개)
  [16050/31879] 751s, ETA 741s
  [16100/31879] 752s, ETA 737s
  [16150/31879] 754s, ETA 734s
  [16200/31879] 755s, ETA 731s
  [16250/31879] 757s, ETA 728s
  [16300/31879] 759s, ETA 726s
  [16350/31879] 761s, ETA 722s
  [16400/31879] 763s, ETA 720s
  [16450/31879] 765s, ETA 717s
  [16500/31879] 768s, ETA 716s
  → 저장 완료 (16500개)
  [16550/31879] 771s, ETA 714s
  [16600/31879] 772s, ETA 711s
  [16650/31879] 775s, ETA 708s
  [16700/31879] 777s, ETA 706s
  [16750/31879] 779s, ETA 704s
  [16800/31879] 780s, ETA 700s
  [16850/31879] 783s, ETA 698s
  [16900/31879] 783s, ETA 694s
  [16950/31879] 784s, ETA 691s
  [17000/31879] 787s, ETA 688s
  → 저장 완료 (17000개)
  [17050/31879] 791s, ETA 688s
  [17100/31879] 793s, ETA 685s
  [17150/31879] 795s, ETA 683s
  [17200/31879] 796s, ETA 679s
  [17250/31879] 798s, ETA 677s
  [17300/31879] 800s, ETA 674s
  [17350/31879] 803s, ETA 672s
  [17400/31879] 806s, ETA 671s
  [17450/31879] 808s, ETA 668s
  [17500/31879] 809s, ETA 665s
  → 저장 완료 (17500개)
  [17550/31879] 813s, ETA 663s
  [17600/31879] 815s, ETA 661s
  [17650/31879] 817s, ETA 659s
  [17700/31879] 819s, ETA 656s
  [17750/31879] 822s, ETA 654s
  [17800/31879] 824s, ETA 652s
  [17850/31879] 826s, ETA 650s
  [17900/31879] 827s, ETA 646s
  [17950/31879] 829s, ETA 643s
  [18000/31879] 832s, ETA 642s
  → 저장 완료 (18000개)
  [18050/31879] 836s, ETA 640s
  [18100/31879] 837s, ETA 637s
  [18150/31879] 839s, ETA 635s
  [18200/31879] 840s, ETA 631s
  [18250/31879] 842s, ETA 629s
  [18300/31879] 843s, ETA 626s
  [18350/31879] 844s, ETA 622s
  [18400/31879] 844s, ETA 619s
  [18450/31879] 845s, ETA 615s
  [18500/31879] 848s, ETA 613s
  → 저장 완료 (18500개)
  [18550/31879] 852s, ETA 612s
  [18600/31879] 854s, ETA 610s
  [18650/31879] 857s, ETA 608s
  [18700/31879] 858s, ETA 604s
  [18750/31879] 860s, ETA 602s
  [18800/31879] 863s, ETA 600s
